Date,Payee,Memo,Outflow,Inflow
2/14/2025,IGST-VPS2504666186764-RATE 18.0 -27 (Ref# 0999999998021 4000245462),,21.33,0
2/19/2025,Netflix Netflix,,199,
3/2/2025,21:43:22 DREAMPLUG TECHNOLOGI BANGALORE,,1732.8,0
3/2/2025,AIRBNB BANGALORE,,0,16065.7
3/2/2025,TELE TRANSFER CREDIT (Ref# ST25063008400001 1174002),,0,100000
3/4/2025,19:20:20 RAZ’BRIGHT LIFECARE PVT LGurgaon,,4542,0
3/9/2025,21:13:51 TELE TRANSFER CREDIT (Ref# ST250700083000010077894),,0,27978
3/10/2025,12:13:21 WWW AMAZON IN GURGAON,,35371.13,0
3/13/2025,AGGREGATOREMI-OFFUSCREDIT (Ref# 09999999980313000525863),,0,35371.13
3/14/2025,"OFFUS EMI,PRIN NB:12,00000104040362 (Ref## 09999999980314000245445)",,4769.59,0
3/14/2025,"OFFUS EMI,INT NBR:01,00000121 104249 (Ref#t 09999999980314000245486)",,331,0
3/14/2025,"OFFUS EMI,PROCNG FEE,00000000001211 (Ref# 0999999998031 4000245460)",,299,0
3/14/2025,"OFFUS EMI,INT NBR 12,00000104040362 (Ref## 09999999980314000245452)",,59.62,
3/14/2025,CONSOLIDATED FCY MARKUP FEE (Ref# VT250630075034880000176),,0,1694.62
3/14/2025,"OFFUS EMI,PRIN NB:01,00000121 104249 (Ref## 09999999980314000245478)",,5701,0
1/28/2025,AIR ASTAN ALMATY KZT 484180.0) - 2256,,0,84730.87
